id,제목,코드,템포,주제
b_1xhcy2g,나의 기쁨 나의 소망 되시며,G,느린곡,"예수, 고백"
b_1bb4gu4,나의 등 뒤에서,E,느린곡,"은혜, 인도와 보호"
b_dgobnp,나의 만족과 유익을 위해,C,느린곡,결단과 헌신
b_bnk6wa,나의 맘 받으소서,D,느린곡,간구
b_3xu9h0,나의 모습 나의 소유,F,느린곡,결단과 헌신
b_1x2wb1a,나의 믿음 주께 있네,Bb,미디움,"간구, 고백"
b_16nejik,나의 반석이신 하나님,A,빠른곡,"찬양(빠른곡), 찬양(느린곡)"
b_199bvu1,나의 안에 거하라,A,느린곡,인도와 보호
b_1beku2h,나의 영원하신 기업,G,느린곡,"예수, 고백"
b_112kkbo,나의 영혼이 잠잠히,A Bb,느린곡,고백
b_eo9jgx,나의 영혼이 주를 찬양,D,느린곡,"찬양(느린곡), 고백"
b_t24tss,나의 입술로,D,느린곡,"경배, 고백"
b_12cayt5,나의 주 나의 하나님이여,E,느린곡,"경배, 고백"
b_3y1p2h,나의 힘이 되신 여호와여,A,미디움,"간구, 고백"
b_18o7pwh,날 구원하신 주 감사,A,느린곡,감사
b_s2sit1,날 세우시네,C,미디움,"은혜, 고백"
b_fj4jww,날 위하여 십자가의,G,느린곡,"십자가, 보혈"
b_uwpqc5,날 향한 계획,C,느린곡,"고백, 인도와 보호"
b_10nhpm5,날마다 숨쉬는 순간마다,E,느린곡,"은혜, 고백"
b_f6355j,낮엔 해처럼 밤엔 달처럼,G,미디움,"결단과 헌신, 고백"
b_6xpfeg,내 갈급함,E F G,느린곡,"간구, 고백"
b_f8kotl,내 구주 예수님,C,느린곡,예수
b_oxcw7p,내 구주 예수를 더욱 사랑,G,느린곡,"예수, 사랑, 고백"
b_1aek09o,내 마음을 가득 채운,E,미디움,"찬양(빠른곡), 사랑"
b_19rq4ew,내 맘의 주여 소망 되소서,C,느린곡,"간구, 고백"
b_wge37r,내 모든 삶의 행동,G,느린곡,"결단과 헌신, 고백"
b_u0tm4b,내 삶 드리리,G A,느린곡,"결단과 헌신, 고백"
b_m20ag6,내 손을 주께 높이 듭니다,G,느린곡,"경배, 간구"
b_1jfx5wz,내 안에 가장 귀한 것,C D,느린곡,"경배, 고백"
b_19jnm5t,내 안에 부어 주소서,A,느린곡,"성령, 간구"
b_9ijqsl,내 안에 사는 이,C,느린곡,예수
b_1azd6ys,내 안에 주를 향한 이 노래,A,느린곡,"찬양(느린곡), 사랑"
b_4yvpp8,내 영이 주를 찬양합니다,E,미디움,"찬양(느린곡), 경배"
b_ln77yp,내 영혼아 주를 찬양하라,G,미디움,"찬양(느린곡), 고백"
b_ftb1o4,내 영혼에 햇빛 비치니,G,미디움,"감사, 고백"
b_7xyex1,내 영혼은 안전합니다,E G A,미디움,"고백, 인도와 보호"
b_lo0dyb,내 영혼의 그윽이 깊은 데서,Bb,느린곡,"고백, 치유"
b_f9do7z,내 영혼의 그윽히 깊은 데서,G,느린곡,"고백, 인도와 보호"
b_11wyfec,내 영혼이 은총 입어,G,미디움,"은혜, 고백"
b_zl5vg0,내 영혼이 잠잠히,A,느린곡,"간구, 고백"
b_now7jt,내 이름 아시죠,E,느린곡,"고백, 치유"
b_1nkbmh,내 잔이 넘치나이다,C,느린곡,"감사, 치유"
b_1yv3x9k,내 주 되신 주를 참 사랑하고,F,느린곡,"사랑, 고백"
b_1nj64al,내 주 없인 살 수 없네,D,느린곡,"간구, 고백"
b_9m0uwl,내 주를 가까이 하게 함은,G,느린곡,"간구, 고백"
b_7lwpvk,내 주의 은혜 강가로,G,미디움,"은혜, 고백"
b_1ah8820,내 진정 사모하는,F,느린곡,"예수, 고백"
b_gu04a4,내 평생 사는 동안,C D E,미디움,"찬양(빠른곡), 찬양(느린곡)"
b_h3m28p,내 평생에 가는 길,C,느린곡,"고백, 인도와 보호"
b_s1hsd,내가 늘 의지하는 예수,E,미디움,"예수, 고백, 인도와 보호"
b_o8a359,내가 매일 기쁘게,G,미디움,"감사, 고백"
b_1bmgx50,내가 어둠 속에서,E,미디움,"은혜, 고백"
b_1wz35ki,내가 예수를 못 박았습니다,F,느린곡,"예수, 십자가, 고백"
b_htods9,내가 주인 삼은,G,느린곡,사랑
b_1p58ieu,내가 할 수 있는 것은,G,느린곡,"결단과 헌신, 고백"
b_iesdl8,내게 강 같은 평화,F G A Bb,미디움,"고백, 인도와 보호"
b_1ksd67c,내게 있는 향유 옥합,D,느린곡,"결단과 헌신, 고백"
b_9ay5th,내일 일은 난 몰라요,A,미디움,"고백, 인도와 보호"
b_1dvfh1o,너 예수께 조용히 나가,D E,느린곡,"예수, 간구, 고백"
b_1arsgm4,너는 그리스도의 향기라,D,미디움,"결단과 헌신, 예수, 교제"
b_jl3zqd,너는 내 아들이라,C A Bb,느린곡,"하나님, 고백"
b_7o3rou,너는 시냇가에 심은 나무라,E,미디움,"말씀, 인도와 보호"
b_1bjbo8k,너를 선택한다,E G,미디움,"사랑, 고백"
b_1nz6til,너무 멀리 왔나요,F A,느린곡,"간구, 치유"
b_1mceb5g,놀라운 주의 사랑,A,느린곡,"십자가, 사랑"
b_rthuup,누군가 널 위하여,E F G,느린곡,"사랑, 교제"
b_hfhwjp,늘 아쉬운 마음,G,느린곡,"간구, 고백"
b_qgyiac,다 와서 찬양해,G,빠른곡,"찬양(빠른곡), 경배"
b_hio71m,다시 복음 앞에,C D,느린곡,"결단과 헌신, 고백"
b_jnz0ul,다시 일어나,G,미디움,"결단과 헌신, 치유"
b_nbfuge,당신은 사랑받기 위해 태어난 사람,D,미디움,"사랑, 교제"
b_1nixzdg,당신은 알고 있나요,E,느린곡,"사랑, 고백"
b_13dikgx,당신은 하나님의 언약 안에,D,미디움,교제
b_ip9cbo,더 원합니다,G,느린곡,"간구, 고백"
b_7fzbsx,두 손 들고,E,미디움,"찬양(빠른곡), 경배"
b_7o9nap,땅 끝에서,D,빠른곡,"찬양(빠른곡), 선교"
b_16n3h8f,때로는 너의 앞에,G,느린곡,"치유, 인도와 보호"
b_1enj6kl,또 하나의 열매를 바라시며,D,느린곡,"결단과 헌신, 교제"
b_8yfcdl,마귀들과 싸울지라,C,빠른곡,"결단과 헌신, 영적전쟁"
b_181yuts,마음 속에 근심 있는 사람,G A,미디움,"간구, 치유"
b_1vmtv7l,마음의 예배,D,느린곡,"경배, 고백"
b_1t09s90,마음이 상한 자를,F,느린곡,치유
b_1swuzmc,마지막 날에,G,빠른곡,"성령, 선교"
b_q6zs4d,만왕의 왕 내 주께서,E,느린곡,"경배, 예수"
b_1vtymo1,만유의 주재,A,느린곡,"경배, 영광"
b_1vu3abp,말씀하시면,C D,미디움,"말씀, 결단과 헌신"
b_195pvhl,먼저 그 나라와 의를 구하라,C,느린곡,"말씀, 간구"
b_z3x5c6,멈출 수 없는 사랑,Bb,미디움,"은혜, 사랑"
b_12ccuod,모든 능력과 모든 권세,A,느린곡,십자가
b_10uu27h,모든 민족과 방언들 가운데,G,미디움,선교
b_aonpr8,모든 상황 속에서,F,느린곡,"찬양(느린곡), 간구, 고백"
b_2w75c5,모든 생명들아 소리쳐,D,빠른곡,"찬양(빠른곡), 경배"
b_13m34y8,모든 열방 주 볼 때까지,G,미디움,"간구, 선교"
b_c8nmqp,모든 이름 위에 뛰어난 이름,D,느린곡,"경배, 예수"
b_1s2j7s4,목마른 사슴,C,느린곡,"간구, 고백"
b_1khtabk,무화과 나뭇잎이 마르고,A,미디움,"간구, 고백"
b_1pbjv8l,문들아 머리 들어라,G,빠른곡,영적전쟁
b_1owzcr6,물이 바다 덮음 같이,G,빠른곡,"영광, 선교"
b_ele7wk,믿음이 없이는,G,미디움,"결단과 헌신, 고백"
b_2nhmx,밀알,E F,느린곡,"결단과 헌신, 고백"
b_fi70jh,반드시 내가 너를,D,느린곡,"고백, 인도와 보호"
b_cm8a4v,밤이나 낮이나,E,미디움,"간구, 고백"
b_11ffy5p,벙어리의 고백,D,미디움,"간구, 고백"
b_l4f002,변찮는 주님의 사랑과,G,미디움,"사랑, 고백"
b_1icb5px,보라 너희는 두려워 말고,G,느린곡,인도와 보호
b_g3r3r9,보혈을 지나,F G,느린곡,보혈
b_1nis0vg,복음 들고 산을,C,빠른곡,"결단과 헌신, 선교"
b_9rsvkp,복의 근원 강림하사,D,느린곡,"경배, 은혜"
b_2fieag,복이라,D F,미디움,"은혜, 고백"
b_r0k38u,부르신 곳에서,E F,느린곡,"경배, 결단과 헌신"
b_8yc2id,부모의 노래,C,느린곡,"간구, 교제"
b_2nbfk,부흥,C D F G A,느린곡,"간구, 선교"
b_iytksp,비 준비하시니,G A,미디움,"은혜, 간구"
b_2mgp1,비전,A,미디움,"결단과 헌신, 선교"
b_v838qs,빈 들에 마른 풀 같이,A,미디움,성령
b_8dawfu,빛 되신 주,E F,미디움,"경배, 십자가"
b_b010oc,빛나고 높은 보좌와,A,미디움,"경배, 영광"
b_2sp9n8,사람을 보며 세상을 볼 땐,F G,미디움,"간구, 고백"
b_1ue83pp,사람을 살리는 노래,F,미디움,"결단과 헌신, 선교"
b_1i56nq8,사랑은 언제나 오래 참고,D,느린곡,"말씀, 사랑"
b_vwvpw4,사랑의 노래 드리네,G,느린곡,"경배, 사랑"
b_1kvafg0,사랑의 주님이,D,느린곡,"은혜, 사랑"
b_1q418z8,사랑하는 나의 아버지,C,느린곡,"찬양(느린곡), 하나님, 사랑"
b_pwm505,사랑합니다 나의 예수님,G,느린곡,"예수, 사랑, 고백"
b_1536715,사랑합니다 주님,F,느린곡,"경배, 사랑"
b_1sfqz1r,사랑해요 목소리 높여,E,느린곡,"경배, 사랑"
b_bai3bo,사막에 샘이 넘쳐,E,빠른곡,"찬양(빠른곡), 은혜"
b_rtxvh0,산과 시내와 붉은 노을,C,미디움,"감사, 하나님"
b_1q4uhfx,살아계신 주,A,빠른곡,"찬양(빠른곡), 찬양(느린곡)"
b_1m7og0s,새벽부터 우리,C,빠른곡,"감사, 찬양(빠른곡)"
b_1if9bqw,샘물과 같은 보혈은,C A,미디움,"십자가, 보혈"
b_7h1hyt,생명 주께 있네,G,빠른곡,찬양(빠른곡)
b_1ofxusk,선하신 목자,D,빠른곡,"고백, 인도와 보호"
b_i34lmh,선한 능력으로,E F G,느린곡,"고백, 인도와 보호"
b_gnapfc,선한 목자 되신 우리 주,D,느린곡,"예수, 인도와 보호"
b_1m2ktxy,성령 받으라,E F,미디움,"성령, 간구"
b_1mdgw01,성령의 불로,E,느린곡,"성령, 간구"
b_t4hhrp,성령의 불타는 교회,G,빠른곡,"성령, 교제"
b_1jqsmj1,성령의 비가 내리네,G,미디움,"성령, 간구"
b_85r35d,성령이 오셨네,C A,느린곡,성령
b_1igtmd4,성령이여 내 영혼을,D,느린곡,성령
b_1l1jfcp,성령이여 임하소서,A,미디움,"성령, 간구"
b_1km5cj1,세상 모든 민족이,G,느린곡,"영광, 선교"
b_mp5sos,세상에서 방황할 때,C,미디움,"은혜, 고백"
b_1q9pujc,세상이 주를 알기 원하네,D,미디움,"결단과 헌신, 선교"
b_34pzt,소원,F G,느린곡,"결단과 헌신, 고백"
b_1xurbfo,소중한 사람,D,미디움,"사랑, 교제"
b_jqzu68,속죄하신 구세주를,G,느린곡,"감사, 보혈"
b_1efk19v,손을 높이 들고,E,빠른곡,"찬양(빠른곡), 경배"
b_1lj05e4,송축해 내 영혼,G,미디움,"찬양(느린곡), 경배"
b_1n3zeah,슬픈 마음 있는 사람,G,미디움,"간구, 치유"
b_88y47d,슬픈 마음 있는 자,A,미디움,"간구, 치유"
b_15lcwrb,승리는 내 것일세,G,빠른곡,"고백, 영적전쟁"
b_ztrhdq,시온에 영광이 빛나는 아침,G,미디움,"영광, 고백"
b_1l5uezc,시편 23편,C F G,느린곡,"말씀, 인도와 보호"
b_x430wx,신실하게 진실하게,D,미디움,"결단과 헌신, 고백"
b_2xfgqx,실로암,C A,미디움,"간구, 치유"
b_2x48uw,십자가,D,느린곡,"십자가, 고백"
b_isq9ih,십자가 군병되어서,C,빠른곡,"십자가, 영적전쟁"
b_kjtdp9,십자가 그 사랑,G,느린곡,"십자가, 사랑, 인도와 보호"
b_106d4ys,십자가를 질 수 있나,G,느린곡,"결단과 헌신, 십자가"
b_gyokui,십자가의 길 순교자의 삶,A,느린곡,"결단과 헌신, 십자가"
b_zk80oo,십자가의 전달자,B,미디움,"결단과 헌신, 십자가"
b_1n804d9,싹트네 싹터요,D E,빠른곡,"찬양(빠른곡), 선교"
b_1hvsoox,아 하나님의 은혜로,C D,느린곡,"은혜, 고백"
b_1xbp7kh,아름다우신,G A,느린곡,"찬양(느린곡), 십자가"
b_1a99htl,아름다운 마음들이 모여서,C,미디움,"사랑, 교제"
b_4zzukh,아름다운 이야기가 있네,A,미디움,"예수, 고백"
b_1l0i8lw,아름답고 놀라운 주 예수,A,느린곡,예수
b_8assna,아무것도 두려워 말라,C A Bb,느린곡,"고백, 인도와 보호"
b_1xh0fzp,아바 아버지,E F,느린곡,"하나님, 치유"
b_gmiwvs,아버지 사랑 내가 노래해,F,느린곡,"하나님, 사랑"
b_9lmggt,아버지 사랑합니다,F,느린곡,"경배, 하나님, 사랑"
b_25fkca,아주 먼 옛날,C,미디움,"예수, 고백"
b_5uys20,아침 안개 눈 앞 가리듯,C D,느린곡,"간구, 고백"
b_1q2tv26,아침 해가 돋을 때,G,미디움,"감사, 고백"
b_1eplkqt,아침에 주의 인자하심을,G,미디움,"감사, 은혜"
b_1wj5vgw,야곱의 축복,C,미디움,"간구, 교제"
b_1wj8s41,야베스의 기도,A,미디움,"간구, 고백"
b_1rx1l8h,약한 나로 강하게,C,느린곡,예수
b_1pamdgp,약할 때 강함 되시네,F G,느린곡,"예수, 고백"
b_qtqerd,어둔 날 다 지나고,C D,미디움,"은혜, 고백"
b_jd0vit,어찌하여야,C,느린곡,"간구, 고백"
b_vjylph,여기에 모인 우리,F G,미디움,"경배, 교제"
b_1c2jfp9,여호와 우리 주여,C,느린곡,"찬양(빠른곡), 경배"
b_d2iqkd,여호와를 즐거이 불러,E,빠른곡,"감사, 찬양(빠른곡), 하나님"
b_1a2iphx,여호와의 유월절,F,미디움,"보혈, 영적전쟁"
b_1jg1ps9,열려라 에바다,E,빠른곡,"치유, 영적전쟁"
b_nooi11,영광 영광,G,빠른곡,"찬양(빠른곡), 영광"
b_eimavs,영광 영광 왕께 영광,G,빠른곡,"찬양(빠른곡), 영광"
b_hytkm9,영광 영광 할렐루야,A,빠른곡,"찬양(빠른곡), 영광"
b_932eax,영광을 돌리세,G,미디움,영광
b_4itkok,영광의 주님 찬양하세,A,빠른곡,"찬양(빠른곡), 찬양(느린곡), 예수, 영광"
b_sawt7w,영원한 생명의 주님,G,느린곡,고백
b_2vgtxp,예배자,A,느린곡,"경배, 고백"
b_4kwguw,예배합니다,E F G,느린곡,"경배, 고백"
b_dwouqs,예수 가장 귀한 그 이름,E,느린곡,예수
b_1vvcl19,예수 그 이름,D,느린곡,"경배, 예수"
b_14lkmqd,예수 나를 오라 하네,F,느린곡,"예수, 간구"
b_1648a1t,예수 나를 위하여,F,느린곡,"예수, 십자가"
b_4nw1bu,예수 나의 좋은 치료자,A,느린곡,"예수, 치유"
b_12uzd9f,예수 나의 첫사랑 되시네,A,빠른곡,"찬양(빠른곡), 찬양(느린곡), 결단과 헌신, 예수"
b_sxdnht,예수 나의 치료자,A,느린곡,"예수, 치유"
b_17xeo0t,예수 늘 함께하시네,D E F,미디움,"예수, 고백, 인도와 보호, 교제"
b_1vscpnb,예수 닮기를,C A B,느린곡,"결단과 헌신, 예수, 고백"
b_1vtyjsx,예수 메시야,G,빠른곡,"찬양(느린곡), 예수, 십자가, 영광"
b_16alw2k,예수 사랑하심은,C,느린곡,"예수, 사랑"
b_16alw2g,예수 사랑하심을,D,느린곡,"예수, 사랑"
b_166eydk,예수 사랑해요,C,느린곡,"예수, 사랑"
b_br06d4,예수 십자가에 흘린 피로써,G,미디움,"예수, 십자가, 보혈"
b_9ce0ch,예수 아름다우신,G A,느린곡,"경배, 예수"
b_ade94g,예수 안에 소망 있네,Eb,느린곡,예수
b_bx7p8h,예수 열방의 소망,A,빠른곡,"예수, 선교"
b_1bgpyxw,예수 우리 왕이여,A,느린곡,"예수, 간구"
b_1f9rhqz,예수 이름 높이세,G,빠른곡,"찬양(빠른곡), 예수"
b_14alpvp,예수 이름으로,E F,미디움,"예수, 영적전쟁"
b_1iam0b0,예수 이름이 온 땅에,D,빠른곡,"예수, 선교"
b_23gjuk,예수 피를 힘입어,E,미디움,"예수, 보혈, 간구"
b_11jaje9,예수가 보이네,F G,미디움,"예수, 고백"
b_11epvmm,예수가 좋다오,A,빠른곡,"예수, 고백"
b_chr8mx,예수는 나의 힘이요,F,느린곡,"성령, 예수"
b_17vqq1x,예수님 찬양 예수님 찬양,G,빠른곡,"찬양(빠른곡), 예수"
b_pe8vai,예수님이 좋은 걸,E,빠른곡,"예수, 고백"
b_1vsgsnd,예수님처럼,E,느린곡,"결단과 헌신, 예수, 사랑"
b_1gmsi91,예수로 나의 구주 삼고,D,느린곡,"예수, 은혜, 고백"
b_xgildx,예수를 나의 구주 삼고,C,느린곡,"예수, 은혜, 고백"
b_nkufut,예수보다,D,미디움,"예수, 고백"
b_1se0cal,예수의 이름으로,F G,느린곡,"예수, 영적전쟁"
b_bhyyzl,오 놀라운 구세주,D,느린곡,"예수, 은혜"
b_9ob6u9,오 신실하신 주,C,느린곡,"은혜, 고백"
b_njfuz1,오 이 기쁨,G,빠른곡,"감사, 찬양(빠른곡)"
b_uu03l,오 주여 나의 마음이,G,느린곡,"간구, 고백"
b_1ucvtru,오늘 이 곳에 계신 성령님,G,느린곡,"성령, 간구"
b_vscxgt,오늘 이 자리에 모인 우리,G,미디움,"경배, 교제"
b_2q9dcx,오라 우리가,D,미디움,"경배, 간구"
b_1a239ez,오랫동안 모든 죄 가운데 빠져,C,미디움,"은혜, 고백"
b_1cd9jv5,오소서 진리의 성령님,D,느린곡,"성령, 선교"
b_1nebrgz,오직 믿음으로,F,미디움,"결단과 헌신, 고백"
b_nlhmy8,오직 예수,A,미디움,"결단과 헌신, 예수"
b_10urqls,오직 예수뿐이네,D E F,느린곡,"예수, 고백"
b_11ksgu9,오직 주의 사랑에 매여,D,느린곡,"사랑, 선교"
b_wkzo8g,온 땅이여 주를,E,빠른곡,"찬양(빠른곡), 경배"
b_nspp0l,온 맘 다해,F,느린곡,"결단과 헌신, 사랑"
b_1vpi0ql,온전케 되리,C A,느린곡,"고백, 치유"
b_evlhii,옳은 길 따르라 의의 길을,E,미디움,"말씀, 결단과 헌신"
b_4mbwm9,완전하신 나의 주,F,느린곡,경배
b_10jqyk0,왕 되신 주께 감사하세,G,빠른곡,"감사, 사랑"
b_1u7lath,왕의 왕 주의 주,G,빠른곡,"하나님, 영광"
b_1vdlvi4,왕이신 나의 하나님,F G,느린곡,찬양(느린곡)
b_ppvuhd,왜 슬퍼하느냐,G,미디움,"고백, 치유"
b_dhy14m,요게벳의 노래,E F,느린곡,"간구, 고백"
b_gh0zb9,우리 모일 때 주 성령 임하리,D,미디움,"성령, 교제"
b_n26t4z,우리 보좌 앞에 모였네,A,느린곡,"경배, 예수, 보혈, 선교"
b_p23db9,우리 살아가는 모든 날들이,E F,느린곡,"감사, 고백"
b_fqi5nx,우리 오늘 눈물로,A,느린곡,"간구, 고백, 치유"
b_h7cyb4,우리 죄 위해 죽으신 주,A,느린곡,십자가
b_bs8cch,우리 주의 성령이,E,느린곡,"성령, 교제"
b_1q8ww7d,우리 함께 기도해,E,느린곡,"성령, 간구, 교제"
b_1q905nh,우리 함께 기뻐해,E,빠른곡,"찬양(빠른곡), 교제"
b_1iv6vw4,우리는 주의 움직이는 교회,F G,빠른곡,"선교, 교제"
b_4r46g1,우리를 죄에서 구하시려,A,느린곡,"십자가, 보혈"
b_1ulatl8,우릴 사용하소서,C,미디움,"결단과 헌신, 선교"
b_kgz9gh,우물가의 여인처럼,A,미디움,"은혜, 고백"
b_vsx510,원하고 바라고 기도합니다,E F G,느린곡,"간구, 고백"
b_9xcxld,웬 말인가 날 위하여,G,느린곡,"십자가, 보혈"
b_7512s0,위대하고 강하신 주님,E,빠른곡,"경배, 하나님"
b_9j48th,위대하신 주,A,느린곡,"찬양(느린곡), 예수, 선교"
b_1kjszv8,유월절 어린 양의 피로,A,느린곡,보혈
b_34ihl,은혜,C A,느린곡,"은혜, 고백"
b_1tukvpd,은혜 아니면,G,느린곡,"은혜, 고백"
b_nj92e9,은혜로다,G,느린곡,은혜
b_16btjhq,이 곳에 임하신,G,느린곡,"경배, 성령"
b_1cpi49,이 땅에 오직 주밖에 없네,F,느린곡,"고백, 선교"
b_fw0hh5,이 땅의 황무함을 보소서,G,느린곡,"간구, 선교"
b_uq2809,이 산지를 내게 주소서,A,빠른곡,"결단과 헌신, 선교"
b_aaxrf6,이 세상에 근심된 일이 많고,G,미디움,"간구, 치유"
b_nzocgs,이 시간 너의 맘 속에,A,느린곡,"성령, 간구"
b_uugp7h,이것이 영원한 삶,G,미디움,"예수, 고백"
b_1r6moyp,이런 교회 되게 하소서,F,미디움,"간구, 교제"
b_kisgk1,이렇게 좋은 날,C,빠른곡,"감사, 교제"
b_zqakgx,인애하신 구세주여,G,느린곡,"은혜, 간구"
b_1s8288e,일어나라 빛을 발하라,A,빠른곡,"결단과 헌신, 선교, 영적전쟁"
b_1fbqxkt,잊을 수 없는 은혜,G,느린곡,은혜
b_1teasnw,작고 약한 내 모습,G A,느린곡,"은혜, 고백"
b_vnqxen,작은 불꽃 하나가,D,미디움,"선교, 교제"
b_1ru84mo,잔다리 동산,C G,미디움,"결단과 헌신, 교제"
b_1lqqv8x,저 높은 곳을 향하여,E G,미디움,"결단과 헌신, 고백"
b_5avwvy,저 들 밖에 한밤중에,C D,미디움,"예수, 성탄"
b_i49flk,전능하신 나의 주 하나님은,A,느린곡,"말씀, 고백"
b_37y9t,전부,D F,느린곡,"결단과 헌신, 고백"
b_qvuwct,전심으로,E,느린곡,"경배, 고백"
b_1mf0zw4,정결하게 하는 샘이,A,느린곡,보혈
b_l8doox,정결한 맘 주시옵소서,G,느린곡,"성령, 간구"
b_1n2s3z9,존귀 오 존귀하신 주,E,빠른곡,찬양(빠른곡)
b_1vlhep6,좋으신 하나님,E,미디움,"감사, 하나님"
b_wql4ly,좋으신 하나님 인자와 자비,E,빠른곡,"감사, 하나님"
b_d13u8s,죄 짐 맡은 우리 구주,F,느린곡,"예수, 간구"
